FIlename flux,FIlename hdr,Target,RA,Dec,Instrument,SNR,wavelength-low,wavelength-high,Line
CHEMISTS\K2-218\HI.20080722.52220_2_14_flux.tbl.gz,CHEMISTS\K2-218\HI.20080722.52220_2_14_hdr.txt.gz,KeckI,00:11:19.54,+12:47:16.0,HIRESScienceMosaic:#1(B):17-7-1#2(G):17-7-6#3(R):2-2-1,92.74460922085892,6537.493,6655.3792,H-alpha
CHEMISTS\K2-218\HI.20080722.52220_2_15_flux.tbl.gz,CHEMISTS\K2-218\HI.20080722.52220_2_15_hdr.txt.gz,KeckI,00:11:19.54,+12:47:16.0,HIRESScienceMosaic:#1(B):17-7-1#2(G):17-7-6#3(R):2-2-1,127.96511999999993,6660.8674,6780.9169,Lithium
CHEMISTS\K2-218\HI.20220813.54507.24_1_03_flux.tbl.gz,CHEMISTS\K2-218\HI.20220813.54507.24_1_03_hdr.txt.gz,EPIC220503236,00:51:14.00,+06:50:47.0,HIRES,4.685477040231784,3878.532,3955.8979,Ca II H & K
CHEMISTS\K2-218\HI.20220813.54507.24_1_04_flux.tbl.gz,CHEMISTS\K2-218\HI.20220813.54507.24_1_04_hdr.txt.gz,EPIC220503236,00:51:14.00,+06:50:47.0,HIRES,4.802365659800365,3923.1141,3999.4667,Ca II H & K
CHEMISTS\K2-218\HI.20220813.54507.24_1_05_flux.tbl.gz,CHEMISTS\K2-218\HI.20220813.54507.24_1_05_hdr.txt.gz,EPIC220503236,00:51:14.00,+06:50:47.0,HIRES,4.937620944117647,3968.3994,4044.0259,Ca II H & K
CHEMISTS\K2-218\HI.20220813.54507.24_3_01_flux.tbl.gz,CHEMISTS\K2-218\HI.20220813.54507.24_3_01_hdr.txt.gz,EPIC220503236,00:51:14.00,+06:50:47.0,HIRES,3.3395935871951243,6545.4021,6662.1194,H-alpha
CHEMISTS\TOI-178\HI.20210927.41592_3_01_flux.tbl.gz,CHEMISTS\TOI-178\HI.20210927.41592_3_01_hdr.txt.gz,T000178,00:29:12.39,-30:27:13.4,HIRES,55.5774665121951,6544.8239,6661.4575,H-alpha
CHEMISTS\TOI-178\HI.20210927.41592_3_02_flux.tbl.gz,CHEMISTS\TOI-178\HI.20210927.41592_3_02_hdr.txt.gz,T000178,00:29:12.39,-30:27:13.4,HIRES,61.10892611585367,6668.337,6787.0981,Lithium
CHEMISTS\TOI-4638\HI.20221207.21074.93_1_03_flux.tbl.gz,CHEMISTS\TOI-4638\HI.20221207.21074.93_1_03_hdr.txt.gz,T004638,00:51:16.90,+12:47:16.0,HIRES,5.040369439131513,3884.8046,3939.6485,Ca II H & K
CHEMISTS\TOI-4638\HI.20221207.21074.93_1_04_flux.tbl.gz,CHEMISTS\TOI-4638\HI.20221207.21074.93_1_04_hdr.txt.gz,T004638,00:51:16.90,+12:47:16.0,HIRES,5.492866259102563,3927.9532,3986.4772,Ca II H & K
CHEMISTS\TOI-4638\HI.20221207.21074.93_3_01_flux.tbl.gz,CHEMISTS\TOI-4638\HI.20221207.21074.93_3_01_hdr.txt.gz,T004638,00:51:16.90,+12:47:16.0,HIRES,2.581928792242424,6544.3287,6661.0271,H-alpha
CHEMISTS\TOI-4638\HI.20221207.21074.93_3_02_flux.tbl.gz,CHEMISTS\TOI-4638\HI.20221207.21074.93_3_02_hdr.txt.gz,T004638,00:51:16.90,+12:47:16.0,HIRES,5.571803915151514,6667.8516,6786.6535,Lithium
